Student ID,Date,Time,Paid Course(Yes/No),Email,Date sent,Payment,Payment Receipt Sent,How and where did you hear about this course?,Country,City,Gender,Age,University/College,Comp_Prog_Degree,University/College Name,Discipline of Degree,Foundational_course in DS_Eco_stat_CS,Programming languages,PW_Exp_DS_ML,Primary Reason for taking this course?,PF_Edu_R,PF_EDU_Python,PW_Exp_R,PW_Exp_Python,P_Edu_R,P_Edu_Python,LinkedIn Account,feedback/comments
15,2022-08-22,06:36:02,Yes,Sent,2022-08-24,Pending,No,IBA Group on Facebook,PAKISTAN,KARACHI,Male,28,No,Masters,KU Leuven,MSC BUSINESS ENGINEERING (MAJORS:DATA SCIENCE AND BUSINESS ANALYTICS),ALL OF THEM,PYTHON,Learner (1 Year or Less),Develop my skillset,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
16,2022-08-22,06:36:38,Yes,Sent,2022-08-24,Paid,No,There is Facebook of IBA and LUMS students where I get to know about this course,PAKISTAN,LAHORE,Male,21,No,Bachelors,LUMS,B.SC(HONORS) ECONOMICS,ECONOMETRICS,R AND PYTHON,Beginner (0 Years),I want to enter in the field of Data Science and in future I want to do Master in Data Science. I want to build my basics and to gain some work experience in this field.,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
17,2022-08-22,06:37:18,No,Sent,2022-08-24,Paid,No,Friend,PAKISTAN,ISLAMABAD,Male,26,No,Bachelors,"COMSATS University, Islamabad",ELECTRICAL ENGINEERING,DATA SCIENCE,PYTHON,Learner (1 Year or Less),To enhance Data science application in business,Learner (1 Year or Less),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),NO,No comments
18,2022-08-22,06:40:24,No,Sent,2022-08-24,Maybe,No,Facebook,PAKISTAN,KARACHI,Male,22,Yes,Bachelors,Iba Karachi,MARKETING ANALYTICS,STATISITICS,R,Learner (1 Year or Less),To pursue my goal to become a marketing analyst and  and business analyst.,Learner (1 Year or Less),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Learner (1 Year or Less),Beginner (0 Years),YES,It would be a great opportunity for me to do this internship and learn the core analytical skills. Looking forward to hear from you.
19,2022-08-22,06:41:46,No,Sent,2022-08-24,Pending,No,On Facebook group,PAKISTAN,KARACHI,Male,21,Yes,Bachelors,IBA,COMPUTER SCIENCE,STATISITICS,JAVA,Beginner (0 Years),To make a career in the field of Data Science,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
20,2022-08-22,06:44:09,Yes,Sent,2022-08-25,Pending,No,Facebook,PAKISTAN,KARACHI,Male,22,Yes,Bachelors,"IBA, Karachi",ECONOMICS AND MATHEMATICS,DATA SCIENCE,R AND SQL,Beginner (0 Years),To involve in data science role,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),NO,No comments
21,2022-08-22,06:53:25,No,Sent,2022-08-24,Pending,No,Facebook,PAKISTAN,KARACHI,Male,27,No,Bachelors,Bachelors in Engineering,SOFTWARE,COMPUTER SCIENCE,JS,Beginner (0 Years),Pursue career in data science,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
22,2022-08-22,06:54:14,Yes,Sent,2022-08-25,Pending,No,Facebook,PAKISTAN,KARACHI,Female,23,No,Bachelors,Institute of Business Administration (IBA),ACCOUNTING AND FINANCE,ECONOMETRICS,NONE,Beginner (0 Years),Career Growth and opportunities,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
23,2022-08-22,06:54:33,Yes,Sent,2022-08-25,Pending,No,I heard it on the group of IBA and LUMS,PAKISTAN,KARACHI,Male,19,Yes,Bachelors,IBA,BBA,DATA SCIENCE,NONE,Beginner (0 Years),"I have learnt about Data Analytics, but not Data Science. Hence, I want to improve this field to explore more about data. ",Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
24,2022-08-22,06:55:22,Yes,Sent,2022-08-25,Pending,No,The group of iba and lums,PAKISTAN,KARACHI,Male,20,Yes,Bachelors,IBA,BSCS,NONE OF THEM,NONE,Beginner (0 Years),To learn more about data science,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),NO,No comments
25,2022-08-22,06:56:13,Yes,Sent,2022-08-25,Pending,No,Facebook page,PAKISTAN,KARACHI,Female,22,No,H.S.C,Foundation public school - bahria university for short course after,PROCESS,NONE OF THEM,I HAVEN’T DONE THIS BEFORE BUT I WANT TO LEARN THIS SKILL.,Beginner (0 Years),To learn new skill and improvise,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),NO,I just hope to learn this in the best ways possible and grow further in this respective field.
26,2022-08-22,07:07:50,No,Sent,2022-08-24,Pending,No,Whatsapp group,PAKISTAN,KARACHI,Male,25,Yes,Bachelors,NED University of Engineering and Technology Karachi,BACHELOR IN SOFTWARE ENGINEERING,DATA SCIENCE,PYHTON,Beginner (0 Years),Promoting our future goal in data science field,Beginner (0 Years),Advanced (4+),None (0 Years),Advanced (4+),Beginner (0 Years),Advanced (4+),YES,This is a great opportunity to polish skills in data science field
27,2022-08-22,07:15:08,No,Sent,2022-08-24,Pending,No,Friends,PAKISTAN,KARACHI,Male,23,Yes,H.S.C,Sindh madressatul Islam university,BACHELOR'S IN COMPUTER SCIENCE,NONE OF THEM,PYTHON,Beginner (0 Years),I am passionate about data and data science thats why i want to take a part in this program,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,A good initiative
28,2022-08-22,07:15:45,No,Sent,2022-08-24,Pending,No,Facebook,PAKISTAN,LAHORE,Male,20,Yes,Bachelors,Lums,ELECTRICAL ENGINEERING,COMPUTER SCIENCE,"PYTHON, C++,  MATLAB,  JS,  ",Beginner (0 Years),Improve skillset,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
29,2022-08-22,07:18:49,Yes,Sent,2022-08-25,Maybe,No,FB,PAKISTAN,KARACHI,Male,25,No,Bachelors,LGU,ECONOMICS,NONE OF THEM,SQL,Beginner (0 Years),Learning,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,Please let me know if there are any discounts available; course seems value-packed but a bit over my budget at this point in time. Great initiative though! :)
30,2022-08-22,07:19:55,Yes,Sent,2022-08-25,Pending,No,Facebook,PAKISTAN,KARACHI,Female,27,No,Bachelors,INSTITUTE OF BUSINESS ADMINISTRATION KARACHI,BS SOCIAL SCIENCES & LIBERAL ARTS,STATISITICS,NONE,Beginner (0 Years),Switching my career to data analytics,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
31,2022-08-22,07:26:08,No,Sent,2022-08-24,Pending,No,Peopel of LUMS and IBA group,PAKISTAN,KARACHI,Male,24,No,Bachelors,IBA Karachi,BS ECONOMICS,STATISITICS,NONE,Beginner (0 Years),Learning and getting skill,Beginner (0 Years),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
32,2022-08-22,07:34:45,Yes,Sent,2022-08-25,Pending,No,Social media,PAKISTAN,KARACHI,Male,23,No,Bachelors,IBA,BS ECONOMICS,ECONOMETRICS,PYTHON,Beginner (0 Years),Learn Data Science,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
33,2022-08-22,07:38:43,Yes,Sent,2022-08-25,Pending,No,"A group called ""People of IBA and LUMS""",PAKISTAN,LAHORE,Male,22,Yes,Bachelors,Lahore University of Management Sciences,ACCOUNTING AND FINANCE (BSC. HONOURS),COMPUTER SCIENCE,"PYTHON, C++, VB",Beginner (0 Years),"I want to expand my skill base, branch out from the usual Accounting and Finance stuff",Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,"Not really, but would appreciate if the course fee could be lowered as coupled with the university expenses, students who are paying for this out of their own pocket might be discouraged to take up this course. "
34,2022-08-22,07:48:58,Yes,Sent,2022-08-25,Paid,Yes,Whatsapp link,PAKISTAN,KARACHI,Male,19,Yes,Bachelors,Institute of Business Administration (IBA),ACCOUNTING AND FINANCE,ALL OF THEM,PYTHON,Beginner (0 Years),"need to blend my finance knowledge with data science, trying to become a financial data scientist ",Learner (1 Year or Less),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Advanced (4+),YES,No comments
35,2022-08-22,07:54:41,Yes,Sent,2022-08-25,Pending,No,Face Book,PAKISTAN,KARACHI,Male,23,No,Bachelors,IBA,ACCOUNTING AMD FINANCE,STATISITICS,NONE,Beginner (0 Years),Want to pursue furthur education in Data science,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,I hope that this course entails to beginners as well as I am from a different discipline
36,2022-08-24,19:04:28,Yes,Sent,2022-08-26,Paid,Yes,From LinkedIn and also from my friend,PAKISTAN,ISLAMABAD,Female,23,Yes,Bachelors,Quaid I azam university,STATISTICS,NONE OF THEM,ONLY IN R,Beginner (0 Years),To enhance my skills or to learn,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Learner (1 Year or Less),Beginner (0 Years),YES,I want to do this course and it's content is awesome
37,2022-08-22,08:01:49,No,Sent,2022-08-24,Pending,No,From social media,PAKISTAN,KARACHI,Male,22,Yes,Bachelors,Sindh Madressatul Islam University,COMPUTER SCIENCE,ALL OF THEM,PYTHON,Learner (1 Year or Less),The primary motive for taking this course is to learn with friendly environment and work on open source project to gain experience,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Intermediate (2-3 Years),YES,It's a request that please charge fees of course which is affordable for everyone because in this situation we are not having any job so please address this issue also
38,2022-08-22,08:04:58,No,Sent,2022-08-24,Pending,No,Friend,PAKISTAN,LAHORE,Male,25,No,Bachelors,PUCIT,COMPUTER SCIENCE,COMPUTER SCIENCE,PYTHON,Intermediate (2-3 Years),Increase my skill level,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),YES,No comments
39,2022-08-22,08:33:09,Yes,Sent,2022-08-25,Pending,No,Facebook,PAKISTAN,LAHORE,Male,21,Yes,Bachelors,Lahore University of Management Sciences,ECONOMICS AND MATHEMATICS,ALL OF THEM,PYTHON AND R,Beginner (0 Years),Industrial Exposure,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),NO,No comments
40,2022-08-22,08:40:24,Yes,Sent,2022-08-25,Pending,No,Facebook,PAKISTAN,KARACHI,Female,21,Yes,Bachelors,Institute of business administration,ECONOMICS,STATISITICS,PYTHON,Beginner (0 Years),Polishing my skills,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
41,2022-08-22,08:40:57,Yes,Sent,2022-08-25,Pending,No,Facebook,PAKISTAN,KARACHI,Male,26,No,Bachelors,Bahria University Karachi campus,ELECTRONICS ENGINEERING,DATA SCIENCE,"R,PYTHON",Learner (1 Year or Less),Opportunity to start career in Data science,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),YES,No comments
42,2022-08-22,08:41:00,No,Sent,2022-08-24,Pending,No,Job group on What's app,PAKISTAN,KARACHI,Male,24,No,Bachelors,Iqra University,BS IN SOFTWARE ENGINEERING,COMPUTER SCIENCE,PYTHON,Beginner (0 Years),Want to change my field,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
43,2022-08-22,08:41:37,No,Sent,2022-08-24,Pending,No,Through a Whatsapp group,PAKISTAN,KARACHI,Male,26,No,Bachelors,Iqra University,BACHELOR IN COMPUTER SCIENCE,COMPUTER SCIENCE,JAVA,Beginner (0 Years),I'm a Project Head at Tech Hunt. And in future we have so many projects related to Data Science and Data Analytics in that case I have to know about these.,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),YES,Not now
44,2022-08-22,08:42:52,No,Sent,2022-08-24,Pending,No,Referral,PAKISTAN,KARACHI,Female,21,Yes,H.S.C,Aga Khan Higher Secondary,BS(COMPUTER SCIENCE),DATA SCIENCE,"PYTHON,JS",Learner (1 Year or Less),To seek understanding of industry practices,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
45,2022-08-22,08:46:48,No,Sent,2022-08-24,Pending,No,On Facebook,PAKISTAN,KARACHI,Male,21,Yes,Bachelors,Iqra University,BS,COMPUTER SCIENCE,JAVA,Intermediate (2-3 Years),For increase my skills,Intermediate (2-3 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),YES,No comments
46,2022-08-22,08:47:13,No,Sent,2022-08-24,Pending,No,From a friend,PAKISTAN,KARACHI,Male,26,No,Bachelors,Iqra University,BACHELOR'S IN COMPUTER SCIENCE,ALL OF THEM,"PYTHON, JAVA.",Learner (1 Year or Less),To have a career in machine learing field.,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
47,2022-08-22,08:47:44,No,Sent,2022-08-24,Pending,No,From WhatsApp group,PAKISTAN,KARACHI,Male,28,No,Bachelors,University Of Karachi,SOFTWARE ENGINEERING,COMPUTER SCIENCE,NONE,Beginner (0 Years),Personal Interest toward Data Engineering,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
48,2022-08-22,08:47:52,Yes,Sent,2022-08-25,Pending,No,Teacher/instructor,PAKISTAN,KARACHI,Male,24,No,Bachelors,Iqra University,BS-CS,COMPUTER SCIENCE,NONE,Beginner (0 Years),"I want to know about data science, and want to start my career in data science, data analytics ",Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
49,2022-08-22,08:48:02,Yes,Sent,2022-08-25,Pending,No,I heard about this course through a whatsapp group,PAKISTAN,KARACHI,Female,23,Yes,Bachelors,Szabist karachi,BSCS,COMPUTER SCIENCE,JAVA AND JAVASCRIPT,Beginner (0 Years),I want to learn new innovative things,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),YES,No comments
50,2022-08-22,08:51:47,No,Sent,2022-08-24,Pending,No,Through a friend,PAKISTAN,KARACHI,Male,23,No,Bachelors,Iqra University,BSSE,DATA SCIENCE,"PYTHON, JAVA",Beginner (0 Years),To enhance my career in the domain of data science,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
51,2022-08-22,08:53:12,Yes,Sent,2022-08-25,Pending,No,My friend tell me about this course,PAKISTAN,KARACHI,Male,18,Yes,H.S.C,Goverment degree science college malir,YES,COMPUTER SCIENCE,"JAVA , JS , PYTHON ",Beginner (0 Years),To increase my skills,Beginner (0 Years),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Learner (1 Year or Less),Intermediate (2-3 Years),NO,No comments
52,2022-08-22,08:55:39,No,Sent,2022-08-24,Pending,No,From friend,PAKISTAN,KARACHI,Male,29,Yes,Masters,Institute of Business Management,MS STATISTICS AND SCIENTIFIC COMPUTING,ALL OF THEM,"R, PYTHON",Learner (1 Year or Less),Want to Excel in the field of data science,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Learner (1 Year or Less),Learner (1 Year or Less),NO,No comments
53,2022-08-22,09:00:35,No,Sent,2022-08-27,Pending,No,facebook,PAKISTAN,KARACHI,Male,24,Yes,Masters,institute of business administration,MASERS DATA SCIENCE,NONE OF THEM,NONE,Beginner (0 Years),Learning about Data Science,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),NO,No comments
54,2022-08-22,09:03:12,No,Sent,2022-08-27,Pending,No,Whatsapp group,PAKISTAN,KARACHI,Male,23,No,Bachelors,Iqra University,COMPUTER SCIENCE,COMPUTER SCIENCE,PYTHON,Beginner (0 Years),I am planning to do masters in data science so before I enrolled in Masters this course would be beneficial for me to enhance my skills,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),NO,No comments
55,2022-08-22,09:04:58,No,Sent,2022-08-27,Pending,No,WhatsApp group,PAKISTAN,KARACHI,Male,23,Yes,Bachelors,Iqra University,COMPUTER SCIENCE,COMPUTER SCIENCE,"JS, JAVA",Beginner (0 Years),I want constantly learn new technologies,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),YES,Na
56,2022-08-22,09:10:43,No,Sent,2022-08-27,Pending,No,Facebook,PAKISTAN,KARACHI,Female,22,Yes,H.S.C,IBA,ACCOUNTING AND FINANCE,STATISITICS,PYTHON,Beginner (0 Years),Would love to learn and diverse my knowledge,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),NO,No comments
57,2022-08-22,09:14:07,No,Sent,2022-08-27,Pending,No,From a friend,PAKISTAN,KARACHI,Male,26,No,Bachelors,Iqra University,COMPUTER SCIENCE,COMPUTER SCIENCE,NONE,Beginner (0 Years),Learning,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
58,2022-08-22,09:17:38,No,Sent,2022-08-27,Pending,No,People of IBA and Lums,PAKISTAN,KARACHI,Male,23,No,Bachelors,IBA,ACCOUNTING AND FINANCE,STATISITICS,NONE,Beginner (0 Years),To get more skills,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
59,2022-08-22,09:33:33,No,Sent,2022-08-27,Pending,No,Students whatsapp group,PAKISTAN,KARACHI,Male,24,No,Bachelors,Iqra Unversity,BSCS,COMPUTER SCIENCE,PYTHON,Beginner (0 Years),I wanna learn python,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Intermediate (2-3 Years),Intermediate (2-3 Years),YES,No comments
60,2022-08-22,09:44:41,No,Sent,2022-08-27,Pending,No,Social Media(Facebook),PAKISTAN,KARACHI,Male,24,Yes,Bachelors,IBA,ECONOMICS,ECONOMETRICS,PYTHON,Beginner (0 Years),Enhance my coding skills for programming and gain experience to get a decent job in  IT sector.,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
61,2022-08-22,09:55:36,Yes,Sent,2022-08-26,Pending,No,Linkedin,PAKISTAN,KARACHI,Male,20,Yes,Bachelors,IBA,BS EM,ALL OF THEM,"PYTHON, JAVA ",Intermediate (2-3 Years),To gain real skill and market exposure,Intermediate (2-3 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),NO,No comments
62,2022-08-22,10:00:22,No,Sent,2022-08-27,Pending,No,From a Friend,PAKISTAN,KARACHI,Male,25,No,Bachelors,Iqra University,BACHELORS IN SOFTWARE ENGINEERING (BSSE),NONE OF THEM,JAVA,Beginner (0 Years),Want to learn,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
63,2022-08-22,10:02:05,No,Sent,2022-08-27,Pending,No,Facebook,PAKISTAN,GILGIT,Female,21,No,Masters,"IBA, Karachi",MATHEMATICS,ALL OF THEM,R AND PYTHON,Learner (1 Year or Less),Enhace my knowledge about data science and improving myjob prospects,Intermediate (2-3 Years),Learner (1 Year or Less),Intermediate (2-3 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),YES,What is the criteria for getting a financial aid to complete the course?
